Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1952 - Eisenhower,Iowa,1268773,808906,63.8,10,451513,35.6,,,,,,,,Republican,
1952 - Eisenhower,Kansas,896166,616302,68.8,8,273296,30.5,,,,,,,,Republican,
1952 - Eisenhower,Kentucky,993148,495029,49.8,,495729,49.9,10,,,,,,,Democratic,
1952 - Eisenhower,Louisiana,651952,306925,47.1,,345027,52.9,10,,,,,,,Democratic,
1952 - Eisenhower,Maine,351786,232353,66,5,118806,33.8,,,,,,,,Republican,
1952 - Eisenhower,Maryland,902074,499424,55.4,9,395337,43.8,,,,,,,,Republican,
1952 - Eisenhower,Massachusetts,2383398,1292325,54.2,16,1083525,45.5,,,,,,,,Republican,
1952 - Eisenhower,Michigan,2798592,1551529,55.4,20,1230657,44,,,,,,,,Republican,
1952 - Eisenhower,Minnesota,1379483,763211,55.3,11,608458,44.1,,,,,,,,Republican,
1952 - Eisenhower,Mississippi,285532,112966,39.6,,172566,60.4,8,,,,,,,Democratic,
1952 - Eisenhower,Missouri,1892062,959429,50.7,13,929830,49.1,,,,,,,,Republican,
1952 - Eisenhower,Montana,265037,157394,59.4,4,106213,40.1,,,,,,,,Republican,
1952 - Eisenhower,Nebraska,609660,421603,69.2,6,188057,30.8,,,,,,,,Republican,
1952 - Eisenhower,Nevada,82190,50502,61.4,3,31688,38.6,,,,,,,,Republican,
1952 - Eisenhower,New Hampshire,272950,166287,60.9,4,106663,39.1,,,,,,,,Republican,
1952 - Eisenhower,New Jersey,2418554,1373613,56.8,16,1015902,42,,,,,,,,Republican,
1952 - Eisenhower,New Mexico,238608,132170,55.4,4,105661,44.3,,,,,,,,Republican,
1952 - Eisenhower,New York,7128239,3952813,55.5,45,3104601,43.6,,,,,,,,Republican,
1952 - Eisenhower,North Carolina,1210910,558107,46.1,,652803,53.9,14,,,,,,,Democratic,
1952 - Eisenhower,North Dakota,270127,191712,71,4,76694,28.4,,,,,,,,Republican,
1952 - Eisenhower,Ohio,3700758,2100391,56.8,25,1600367,43.2,,,,,,,,Republican,
1952 - Eisenhower,Oklahoma,948984,518045,54.6,8,430939,45.4,,,,,,,,Republican,
1952 - Eisenhower,Oregon,695059,420815,60.5,6,270579,38.9,,,,,,,,Republican,
1952 - Eisenhower,Pennsylvania,4580969,2415789,52.7,32,2146269,46.9,,,,,,,,Republican,
1952 - Eisenhower,Rhode Island,414498,210935,50.9,4,203293,49,,,,,,,,Republican,
1952 - Eisenhower,South Carolina,341087,9793,2.9,,173004,50.7,8,,,,,,,Democratic,
1952 - Eisenhower,South Dakota,294283,203857,69.3,4,90426,30.7,,,,,,,,Republican,
1952 - Eisenhower,Tennessee,892553,446147,50,11,443710,49.7,,,,,,,,Republican,
1952 - Eisenhower,Texas,2075946,1102878,53.1,24,969228,46.7,,,,,,,,Republican,
1952 - Eisenhower,Utah,329554,194190,58.9,4,135364,41.1,,,,,,,,Republican,
1952 - Eisenhower,Vermont,153557,109717,71.5,3,43355,28.2,,,,,,,,Republican,
1952 - Eisenhower,Virginia,619689,349037,56.3,12,268677,43.4,,,,,,,,Republican,
1952 - Eisenhower,Washington,1102708,599107,54.3,9,492845,44.7,,,,,,,,Republican,
1952 - Eisenhower,West Virginia,873548,419970,48.1,,453578,51.9,8,,,,,,,Democratic,
1952 - Eisenhower,Wisconsin,1607370,979744,61,12,622175,38.7,,,,,,,,Republican,
1952 - Eisenhower,Wyoming,129253,81049,62.7,3,47934,37.1,,,,,,,,Republican,
1956 - Eisenhower,Alabama,496861,195694,39.4,,280844,56.5,10*,,,,,,,Democratic,
1956 - Eisenhower,Arizona,290173,176990,61,4,112880,38.9,,,,,,,,Republican,
1956 - Eisenhower,Arkansas,406572,186287,45.8,,213277,52.5,8,,,,,,,Democratic,
1956 - Eisenhower,California,5466355,3027668,55.4,32,2420135,44.3,,,,,,,,Republican,
1956 - Eisenhower,Colorado,657074,394479,60,6,257997,39.3,,,,,,,,Republican,
1956 - Eisenhower,Connecticut,1117121,711837,63.7,8,405079,36.3,,,,,,,,Republican,
1956 - Eisenhower,Delaware,177988,98057,55.1,3,79421,44.6,,,,,,,,Republican,
1956 - Eisenhower,Florida,1125762,643849,57.2,10,480371,42.7,,,,,,,,Republican,
1956 - Eisenhower,Georgia,669655,222778,33.3,,444688,66.4,12,,,,,,,Democratic,
1956 - Eisenhower,Idaho,272989,166979,61.2,4,105868,38.8,,,,,,,,Republican,
1956 - Eisenhower,Illinois,4407407,2623327,59.5,27,1775682,40.3,,,,,,,,Republican,
1956 - Eisenhower,Indiana,1974607,1182811,59.9,13,783908,39.7,,,,,,,,Republican,
1956 - Eisenhower,Iowa,1234564,729187,59.1,10,501858,40.7,,,,,,,,Republican,
1956 - Eisenhower,Kansas,866243,566878,65.4,8,296317,34.2,,,,,,,,Republican,
1956 - Eisenhower,Kentucky,1053805,572192,54.3,10,476453,45.2,,,,,,,,Republican,
1956 - Eisenhower,Louisiana,617544,329047,53.3,10,243977,39.5,,,,,,,,Republican,
1956 - Eisenhower,Maine,351706,249238,70.9,5,102468,29.1,,,,,,,,Republican,
1956 - Eisenhower,Maryland,932827,559738,60,9,372613,39.9,,,,,,,,Republican,
1956 - Eisenhower,Massachusetts,2348506,1393197,59.3,16,948190,40.4,,,,,,,,Republican,
1956 - Eisenhower,Michigan,3080468,1713647,55.6,20,1359898,44.1,,,,,,,,Republican,
1956 - Eisenhower,Minnesota,1340005,719302,53.7,11,617525,46.1,,,,,,,,Republican,
1956 - Eisenhower,Mississippi,248104,60685,24.5,,144453,58.2,8,,,,,,,Democratic,
1956 - Eisenhower,Missouri,1832562,914289,49.9,,918273,50.1,13,,,,,,,Democratic,
1956 - Eisenhower,Montana,271171,154933,57.1,4,116238,42.9,,,,,,,,Republican,
1956 - Eisenhower,Nebraska,577137,378108,65.5,6,199029,34.5,,,,,,,,Republican,
1956 - Eisenhower,Nevada,96689,56049,58,3,40640,42,,,,,,,,Republican,
1956 - Eisenhower,New Hampshire,266994,176519,66.1,4,90364,33.8,,,,,,,,Republican,
1956 - Eisenhower,New Jersey,2484312,1606942,64.7,16,850337,34.2,,,,,,,,Republican,
1956 - Eisenhower,New Mexico,253926,146788,57.8,4,106098,41.8,,,,,,,,Republican,
1956 - Eisenhower,New York,7095971,4345506,61.2,45,2747944,38.7,,,,,,,,Republican,
1956 - Eisenhower,North Carolina,1165592,575062,49.3,,590530,50.7,14,,,,,,,Democratic,
1956 - Eisenhower,North Dakota,253991,156766,61.7,4,96742,38.1,,,,,,,,Republican,
1956 - Eisenhower,Ohio,3702265,2262610,61.1,25,1439655,38.9,,,,,,,,Republican,
1956 - Eisenhower,Oklahoma,859350,473769,55.1,8,385581,44.9,,,,,,,,Republican,
1956 - Eisenhower,Oregon,736132,406393,55.2,6,329204,44.7,,,,,,,,Republican,
1956 - Eisenhower,Pennsylvania,4576503,2585252,56.5,32,1981769,43.3,,,,,,,,Republican,
1956 - Eisenhower,Rhode Island,387609,225819,58.3,4,161790,41.7,,,,,,,,Republican,
1956 - Eisenhower,South Carolina,300583,75700,25.2,,136372,45.4,8,,,,,,,Democratic,
1956 - Eisenhower,South Dakota,293857,171569,58.4,4,122288,41.6,,,,,,,,Republican,
1956 - Eisenhower,Tennessee,939404,462288,49.2,11,456507,48.6,,,,,,,,Republican,
1956 - Eisenhower,Texas,1955168,1080619,55.3,24,859958,44,,,,,,,,Republican,
1956 - Eisenhower,Utah,333995,215631,64.6,4,118364,35.4,,,,,,,,Republican,
1956 - Eisenhower,Vermont,152978,110390,72.2,3,42549,27.8,,,,,,,,Republican,
1956 - Eisenhower,Virginia,697978,386459,55.4,12,267760,38.4,,,,,,,,Republican,
1956 - Eisenhower,Washington,1150889,620430,53.9,9,523002,45.4,,,,,,,,Republican,
1956 - Eisenhower,West Virginia,830831,449297,54.1,8,381534,45.9,,,,,,,,Republican,
1956 - Eisenhower,Wisconsin,1550558,954844,61.6,12,586768,37.8,,,,,,,,Republican,
1956 - Eisenhower,Wyoming,124127,74573,60.1,3,49554,39.9,,,,,,,,Republican,
1960 - Kennedy,Alabama,570225,324050,56.8,5*,237981,41.7,,,,,,,,Democratic,
1960 - Kennedy,Alaska,60762,29809,49.1,,30953,50.9,3,,,,,,,Republican,
1960 - Kennedy,Arizona,398491,176781,44.4,,221241,55.5,4,,,,,,,Republican,
1960 - Kennedy,Arkansas,428509,215049,50.2,8,184508,43.1,,,,,,,,Democratic,
1960 - Kennedy,California,6506578,3224099,49.6,,3259722,50.1,32,,,,,,,Republican,
1960 - Kennedy,Colorado,736236,330629,44.9,,402242,54.6,6,,,,,,,Republican,
1960 - Kennedy,Connecticut,1222883,657055,53.7,8,565813,46.3,,,,,,,,Democratic,
1960 - Kennedy,Delaware,196683,99590,50.6,3,96373,49,,,,,,,,Democratic,
1960 - Kennedy,Florida,1544176,748700,48.5,,795476,51.5,10,,,,,,,Republican,
1960 - Kennedy,Georgia,733349,458638,62.5,12,274472,37.4,,,,,,,,Democratic,
1960 - Kennedy,Hawaii,184705,92410,50,3,92295,50,,,,,,,,Democratic,
1960 - Kennedy,Idaho,300450,138853,46.2,,161597,53.8,4,,,,,,,Republican,
1960 - Kennedy,Illinois,4757409,2377846,50,27,2368988,49.8,,,,,,,,Democratic,
1960 - Kennedy,Indiana,2135360,952358,44.6,,1175120,55,13,,,,,,,Republican,
1960 - Kennedy,Iowa,1273810,550565,43.2,,722381,56.7,10,,,,,,,Republican,
1960 - Kennedy,Kansas,928825,363213,39.1,,561474,60.4,8,,,,,,,Republican,
1960 - Kennedy,Kentucky,1124462,521855,46.4,,602607,53.6,10,,,,,,,Republican,
1960 - Kennedy,Louisiana,807891,407339,50.4,10,230980,28.6,,,,,,,,Democratic,
1960 - Kennedy,Maine,421767,181159,43,,240608,57,5,,,,,,,Republican,
1960 - Kennedy,Maryland,1055349,565808,53.6,9,489538,46.4,,,,,,,,Democratic,
1960 - Kennedy,Massachusetts,2469480,1487174,60.2,16,976750,39.6,,,,,,,,Democratic,
1960 - Kennedy,Michigan,3318097,1687269,50.9,20,1620428,48.8,,,,,,,,Democratic,
1960 - Kennedy,Minnesota,1541887,779933,50.6,11,757915,49.2,,,,,,,,Democratic,
1960 - Kennedy,Mississippi,298171,108362,36.3,*,73561,24.7,*,,,,,,,Democratic,
1960 - Kennedy,Missouri,1934422,972201,50.3,13,962221,49.7,,,,,,,,Democratic,
1960 - Kennedy,Montana,277579,134891,48.6,,141841,51.1,4,,,,,,,Republican,
1960 - Kennedy,Nebraska,613095,232542,37.9,,380553,62.1,6,,,,,,,Republican,
1960 - Kennedy,Nevada,107267,54880,51.2,3,52387,48.8,,,,,,,,Democratic,
1960 - Kennedy,New Hampshire,295761,137772,46.6,,157989,53.4,4,,,,,,,Republican,
1960 - Kennedy,New Jersey,2773111,1385415,50,16,1363324,49.2,,,,,,,,Democratic,
1960 - Kennedy,New Mexico,311107,156027,50.2,4,153733,49.4,,,,,,,,Democratic,
1960 - Kennedy,New York,7291079,3830085,52.5,45,3446419,47.3,,,,,,,,Democratic,
1960 - Kennedy,North Carolina,1368556,713136,52.1,14,655420,47.9,,,,,,,,Democratic,
1960 - Kennedy,North Dakota,278431,123963,44.5,,154310,55.4,4,,,,,,,Republican,
1960 - Kennedy,Ohio,4161859,1944248,46.7,,2217611,53.3,25,,,,,,,Republican,
1960 - Kennedy,Oklahoma,903150,370111,41,,533039,59,7*,,,,,,,Republican,
1960 - Kennedy,Oregon,776421,367402,47.3,,408060,52.6,6,,,,,,,Republican,
1960 - Kennedy,Pennsylvania,5006541,2556282,51.1,32,2439956,48.7,,,,,,,,Democratic,
1960 - Kennedy,Rhode Island,405535,258032,63.6,4,147502,36.4,,,,,,,,Democratic,
1960 - Kennedy,South Carolina,386688,198129,51.2,8,188558,48.8,,,,,,,,Democratic,
1960 - Kennedy,South Dakota,306487,128070,41.8,,178417,58.2,4,,,,,,,Republican,
1960 - Kennedy,Tennessee,1051792,481453,45.8,,556577,52.9,11,,,,,,,Republican,
1960 - Kennedy,Texas,2311084,1167567,50.5,24,1121310,48.5,,,,,,,,Democratic,
1960 - Kennedy,Utah,374709,169248,45.2,,205361,54.8,4,,,,,,,Republican,
1960 - Kennedy,Vermont,167324,69186,41.3,,98131,58.6,3,,,,,,,Republican,
1960 - Kennedy,Virginia,771449,362327,47,,404521,52.4,12,,,,,,,Republican,
1960 - Kennedy,Washington,1241572,599298,48.3,,629273,50.7,9,,,,,,,Republican,
1960 - Kennedy,West Virginia,837781,441786,52.7,8,395995,47.3,,,,,,,,Democratic,
1960 - Kennedy,Wisconsin,1729082,830805,48,,895175,51.8,12,,,,,,,Republican,
1960 - Kennedy,Wyoming,140782,63331,45,,77451,55,3,,,,,,,Republican,
1964 - Johnson,Alabama,689818,210733,0,,479085,69.5,10,,,,,,,Republican,
1964 - Johnson,Alaska,67259,44329,65.9,3,22930,34.1,,,,,,,,Democratic,
1964 - Johnson,Arizona,480770,237753,49.5,,242535,50.4,5,,,,,,,Republican,
1964 - Johnson,Arkansas,560426,314197,56.1,6,243264,43.4,,,,,,,,Democratic,
1964 - Johnson,California,7057586,4171877,59.1,40,2879108,40.8,,,,,,,,Democratic,
1964 - Johnson,Colorado,776986,476024,61.3,6,296767,38.2,,,,,,,,Democratic,
1964 - Johnson,Connecticut,1218578,826269,67.8,8,390996,32.1,,,,,,,,Democratic,
1964 - Johnson,Delaware,201320,122704,60.9,3,78078,38.8,,,,,,,,Democratic,
1964 - Johnson,Dist. of Col.,198597,169796,85.5,3,28801,14.5,,,,,,,,Democratic,
1964 - Johnson,Florida,1854481,948540,51.1,14,905941,48.9,,,,,,,,Democratic,
1964 - Johnson,Georgia,1139335,522556,45.9,,616584,54.1,12,,,,,,,Republican,
1964 - Johnson,Hawaii,207271,163249,78.8,4,44022,21.2,,,,,,,,Democratic,
1964 - Johnson,Idaho,292477,148920,50.9,4,143557,49.1,,,,,,,,Democratic,
1964 - Johnson,Illinois,4702841,2796833,59.5,26,1905946,40.5,,,,,,,,Democratic,
1964 - Johnson,Indiana,2091606,1170848,56,13,911118,43.6,,,,,,,,Democratic,
1964 - Johnson,Iowa,1184539,733030,61.9,9,449148,37.9,,,,,,,,Democratic,
1964 - Johnson,Kansas,857901,464028,54.1,7,386579,45.1,,,,,,,,Democratic,
1964 - Johnson,Kentucky,1046105,669659,64,9,372977,35.7,,,,,,,,Democratic,
1964 - Johnson,Louisiana,896293,387068,43.2,,509225,56.8,10,,,,,,,Republican,
1964 - Johnson,Maine,380965,262264,68.8,4,118701,31.2,,,,,,,,Democratic,
1964 - Johnson,Maryland,1116457,730912,65.5,10,385495,34.5,,,,,,,,Democratic,
1964 - Johnson,Massachusetts,2344798,1786422,76.2,14,549727,23.4,,,,,,,,Democratic,
1964 - Johnson,Michigan,3203102,2136615,66.7,21,1060152,33.1,,,,,,,,Democratic,
1964 - Johnson,Minnesota,1554462,991117,63.8,10,559624,36,,,,,,,,Democratic,
1964 - Johnson,Mississippi,409146,52618,12.9,,356528,87.1,7,,,,,,,Republican,
1964 - Johnson,Missouri,1817879,1164344,64,12,653535,36,,,,,,,,Democratic,
1964 - Johnson,Montana,278628,164246,58.9,4,113032,40.6,,,,,,,,Democratic,
1964 - Johnson,Nebraska,584154,307307,52.6,5,276847,47.4,,,,,,,,Democratic,
1964 - Johnson,Nevada,135433,79339,58.6,3,56094,41.4,,,,,,,,Democratic,
1964 - Johnson,New Hampshire,288093,184064,63.9,4,104029,36.1,,,,,,,,Democratic,
1964 - Johnson,New Jersey,2847663,1868231,65.6,17,964174,33.9,,,,,,,,Democratic,
1964 - Johnson,New Mexico,328645,194015,59,4,132838,40.4,,,,,,,,Democratic,
1964 - Johnson,New York,7166275,4913102,68.6,43,2243559,31.3,,,,,,,,Democratic,
1964 - Johnson,North Carolina,1424983,800139,56.2,13,624844,43.8,,,,,,,,Democratic,
1964 - Johnson,North Dakota,258389,149784,58,4,108207,41.9,,,,,,,,Democratic,
1964 - Johnson,Ohio,3969196,2498331,62.9,26,1470865,37.1,,,,,,,,Democratic,
1964 - Johnson,Oklahoma,932499,519834,55.7,8,412665,44.3,,,,,,,,Democratic,
1964 - Johnson,Oregon,786305,501017,63.7,6,282779,36,,,,,,,,Democratic,
1964 - Johnson,Pennsylvania,4822690,3130954,64.9,29,1673657,34.7,,,,,,,,Democratic,
1964 - Johnson,Rhode Island,390091,315463,80.9,4,74615,19.1,,,,,,,,Democratic,
1964 - Johnson,South Carolina,524779,215723,41.1,,309048,58.9,8,,,,,,,Republican,
1964 - Johnson,South Dakota,293118,163010,55.6,4,130108,44.4,,,,,,,,Democratic,
1964 - Johnson,Tennessee,1143946,634947,55.5,11,508965,44.5,,,,,,,,Democratic,
1964 - Johnson,Texas,2626811,1663185,63.3,25,958566,36.5,,,,,,,,Democratic,
1964 - Johnson,Utah,401413,219628,54.7,4,181785,45.3,,,,,,,,Democratic,
1964 - Johnson,Vermont,163089,108127,66.3,3,54942,33.7,,,,,,,,Democratic,
1964 - Johnson,Virginia,1042267,558038,53.5,12,481334,46.2,,,,,,,,Democratic,
1964 - Johnson,Washington,1258556,779881,62,9,470366,37.4,,,,,,,,Democratic,
1964 - Johnson,West Virginia,792040,538087,67.9,7,253953,32.1,,,,,,,,Democratic,
1964 - Johnson,Wisconsin,1691815,1050424,62.1,12,638495,37.7,,,,,,,,Democratic,
1964 - Johnson,Wyoming,142716,80718,56.6,3,61998,43.4,,,,,,,,Democratic,
1968 - Nixon,Alabama,1049922,146923,14,,196579,18.7,,691425,65.9,10,,,,Other,
1968 - Nixon,Alaska,83035,37600,45.3,3,35411,42.6,,10024,12.1, ,,,,Republican,
1968 - Nixon,Arizona,486936,266721,54.8,5,170514,35,,46573,9.6, ,,,,Republican,
1968 - Nixon,Arkansas,619969,190759,30.8,,188228,30.4,,240982,38.9,6,,,,Other,
1968 - Nixon,California,7251587,3467664,47.8,40,3244318,44.7,,487270,6.7, ,,,,Republican,
1968 - Nixon,Colorado,811199,409345,50.5,6,335174,41.3,,60813,7.5, ,,,,Republican,
1968 - Nixon,Connecticut,1256232,556721,44.3,,621561,49.5,8,76650,6.1, ,,,,Democratic,
1968 - Nixon,Delaware,214367,96714,45.1,3,89194,41.6,,28459,13.3, ,,,,Republican,
1968 - Nixon,Dist. of Col.,170578,31012,18.2,,139566,81.8,3,0,0, ,,,,Democratic,
1968 - Nixon,Florida,2187805,886804,40.5,14,676794,30.9,,624207,28.5, ,,,,Republican,
1968 - Nixon,Georgia,1250266,380111,30.4,,334440,26.7,,535550,42.8,12,,,,Other,
1968 - Nixon,Hawaii,236218,91425,38.7,,141324,59.8,4,3469,1.5, ,,,,Democratic,
1968 - Nixon,Idaho,291183,165369,56.8,4,89273,30.7,,36541,12.5, ,,,,Republican,
1968 - Nixon,Illinois,4619749,2174774,47.1,26,2039814,44.2,,390958,8.5, ,,,,Republican,
1968 - Nixon,Indiana,2123597,1067885,50.3,13,806659,38,,243108,11.4, ,,,,Republican,
1968 - Nixon,Iowa,1167931,619106,53,9,476699,40.8,,66422,5.7, ,,,,Republican,
1968 - Nixon,Kansas,872783,478674,54.8,7,302996,34.7,,88921,10.2, ,,,,Republican,
1968 - Nixon,Kentucky,1055893,462411,43.8,9,397541,37.6,,193098,18.3, ,,,,Republican,
1968 - Nixon,Louisiana,1097450,257535,23.5,,309615,28.2,,530300,48.3,10,,,,Other,
1968 - Nixon,Maine,392936,169254,43.1,,217312,55.3,4,6370,1.6, ,,,,Democratic,
1968 - Nixon,Maryland,1235039,517995,41.9,,538310,43.6,10,178734,14.5, ,,,,Democratic,
1968 - Nixon,Massachusetts,2331752,766844,32.9,,1469218,63,14,87088,3.7, ,,,,Democratic,
1968 - Nixon,Michigan,3306250,1370665,41.5,,1593082,48.2,21,331968,10, ,,,,Democratic,
1968 - Nixon,Minnesota,1588506,658643,41.5,,857738,54,10,68931,4.3, ,,,,Democratic,
1968 - Nixon,Mississippi,654509,88516,13.5,,150644,23,,415349,63.5,7,,,,Other,
1968 - Nixon,Missouri,1809502,811932,44.9,12,791444,43.7,,206126,11.4, ,,,,Republican,
1968 - Nixon,Montana,274404,138835,50.6,4,114117,41.6,,20015,7.3, ,,,,Republican,
1968 - Nixon,Nebraska,536851,321163,59.8,5,170784,31.8,,44904,8.4, ,,,,Republican,
1968 - Nixon,Nevada,154218,73188,47.5,3,60598,39.3,,20432,13.2, ,,,,Republican,
1968 - Nixon,New Hampshire,297298,154903,52.1,4,130589,43.9,,11173,3.8, ,,,,Republican,
1968 - Nixon,New Jersey,2875395,1325467,46.1,17,1264206,44,,262187,9.1, ,,,,Republican,
1968 - Nixon,New Mexico,327350,169692,51.8,4,130081,39.7,,25737,7.9, ,,,,Republican,
1968 - Nixon,New York,6791688,3007932,44.3,,3378470,49.7,43,358864,5.3, ,,,,Democratic,
1968 - Nixon,North Carolina,1587493,627192,39.5,12,464113,29.2,,496188,31.3,1,,,,Republican,
1968 - Nixon,North Dakota,247882,138669,55.9,4,94769,38.2,,14244,5.7, ,,,,Republican,
1968 - Nixon,Ohio,3959698,1791014,45.2,26,1700586,42.9,,467495,11.8, ,,,,Republican,
1968 - Nixon,Oklahoma,943086,449697,47.7,8,301658,32,,191731,20.3, ,,,,Republican,
1968 - Nixon,Oregon,819622,408433,49.8,6,358866,43.8,,49683,6.1, ,,,,Republican,
1968 - Nixon,Pennsylvania,4747928,2090017,44,,2259405,47.6,29,378582,8, ,,,,Democratic,
1968 - Nixon,Rhode Island,385000,122359,31.8,,246518,64,4,15678,4.1, ,,,,Democratic,
1968 - Nixon,South Carolina,666978,254062,38.1,8,197486,29.6,,215430,32.3, ,,,,Republican,
1968 - Nixon,South Dakota,281264,149841,53.3,4,118023,42,,13400,4.8, ,,,,Republican,
1968 - Nixon,Tennessee,1248617,472592,37.8,11,351233,28.1,,424792,34, ,,,,Republican,
1968 - Nixon,Texas,3079216,1227844,39.9,,1266804,41.1,25,584269,19, ,,,,Democratic,
1968 - Nixon,Utah,422568,238728,56.5,4,156665,31.1,,26906,6.4, ,,,,Republican,
1968 - Nixon,Vermont,161404,85142,52.8,3,70255,43.5,,5104,3.2, ,,,,Republican,
1968 - Nixon,Virginia,1361491,590319,43.4,12,442387,32.5,,321833,23.6, ,,,,Republican,
1968 - Nixon,Washington,1304281,588510,45.1,,616037,47.2,9,96990,7.4, ,,,,Democratic,
1968 - Nixon,West Virginia,754206,307555,40.8,,374091,49.6,7,72560,9.6, ,,,,Democratic,
1968 - Nixon,Wisconsin,1691538,809997,47.9,12,748804,44.3,,127835,7.6, ,,,,Republican,
1968 - Nixon,Wyoming,127205,70927,55.8,3,45173,35.5,,11105,8.7, ,,,,Republican,
1972 - Nixon,Alabama,1006111,728701,72.4,9,256923,25.5,,,,,,,,Republican,
1972 - Nixon,Alaska,95219,55349,58.1,3,32967,34.6,,,,,,,,Republican,
1972 - Nixon,Arizona,622926,402812,64.7,6,198540,31.9,,,,,,,,Republican,
1972 - Nixon,Arkansas,651320,448541,68.9,6,199892,30.7,,,,,,,,Republican,
1972 - Nixon,California,8367862,4602096,55,45,3475847,41.5,,,,,,,,Republican,
1972 - Nixon,Colorado,953884,597189,62.6,7,329980,34.6,,,,,,,,Republican,
1972 - Nixon,Connecticut,1384277,810763,58.6,8,555498,40.1,,,,,,,,Republican,
1972 - Nixon,Delaware,235516,140357,59.6,3,92283,39.2,,,,,,,,Republican,
1972 - Nixon,Dist. of Col.,163421,35226,21.6,,127627,78.1,3,,,,,,,Democratic,
1972 - Nixon,Florida,2583283,1857759,71.9,17,718117,27.8,,,,,,,,Republican,
1972 - Nixon,Georgia,1174772,881496,75,12,289529,24.6,,,,,,,,Republican,
1972 - Nixon,Hawaii,270274,168865,62.5,4,101409,37.5,,,,,,,,Republican,
1972 - Nixon,Idaho,310379,199384,64.2,4,80826,26,,,,,,,,Republican,
1972 - Nixon,Illinois,4723236,2788179,59,26,1913472,40.5,,,,,,,,Republican,
1972 - Nixon,Indiana,2125529,1405154,66.1,13,708568,33.3,,,,,,,,Republican,
1972 - Nixon,Iowa,1225944,706207,57.6,8,496206,40.5,,,,,,,,Republican,
1972 - Nixon,Kansas,916095,619812,67.7,7,270287,29.5,,,,,,,,Republican,
1972 - Nixon,Kentucky,1067499,676446,63.4,9,371159,34.8,,,,,,,,Republican,
1972 - Nixon,Louisiana,1051491,686852,65.3,10,298142,28.4,,,,,,,,Republican,
1972 - Nixon,Maine,417042,256458,61.5,4,160584,38.5,,,,,,,,Republican,
1972 - Nixon,Maryland,1353812,829305,61.3,10,505781,37.4,,,,,,,,Republican,
1972 - Nixon,Massachusetts,2458756,1112078,45.2,,1332540,54.2,14,,,,,,,Democratic,
1972 - Nixon,Michigan,3489727,1961721,56.2,21,1459435,41.8,,,,,,,,Republican,
1972 - Nixon,Minnesota,1741652,898269,51.6,10,802346,46.1,,,,,,,,Republican,
1972 - Nixon,Mississippi,645963,505125,78.2,7,126782,19.6,,,,,,,,Republican,
1972 - Nixon,Missouri,1855803,1153852,62.2,12,697147,37.6,,,,,,,,Republican,
1972 - Nixon,Montana,317603,183976,57.9,4,120197,37.8,,,,,,,,Republican,
1972 - Nixon,Nebraska,576289,406298,70.5,5,169991,29.5,,,,,,,,Republican,
1972 - Nixon,Nevada,181766,115750,63.7,3,66016,36.3,,,,,,,,Republican,
1972 - Nixon,New Hampshire,334055,213724,64,4,116435,34.9,,,,,,,,Republican,
1972 - Nixon,New Jersey,2997229,1845502,61.6,17,1102211,36.8,,,,,,,,Republican,
1972 - Nixon,New Mexico,386241,235606,61,4,141084,36.5,,,,,,,,Republican,
1972 - Nixon,New York,7165919,4192778,58.5,41,2951084,41.2,,,,,,,,Republican,
1972 - Nixon,North Carolina,1518612,1054889,69.5,13,438705,28.9,,,,,,,,Republican,
1972 - Nixon,North Dakota,280514,174109,62.1,3,100384,35.8,,,,,,,,Republican,
1972 - Nixon,Ohio,4094787,2441827,59.6,25,1558889,38.1,,,,,,,,Republican,
1972 - Nixon,Oklahoma,1029900,759025,73.7,8,247147,24,,,,,,,,Republican,
1972 - Nixon,Oregon,927946,486686,52.4,6,392760,42.3,,,,,,,,Republican,
1972 - Nixon,Pennsylvania,4592106,2714521,59.1,27,1796951,39.1,,,,,,,,Republican,
1972 - Nixon,Rhode Island,415808,220383,53,4,194645,46.8,,,,,,,,Republican,
1972 - Nixon,South Carolina,673960,477044,70.8,8,186824,27.7,,,,,,,,Republican,
1972 - Nixon,South Dakota,307415,166476,54.2,4,139945,45.5,,,,,,,,Republican,
1972 - Nixon,Tennessee,1201182,813147,67.7,10,357293,29.7,,,,,,,,Republican,
1972 - Nixon,Texas,3471281,2298896,66.2,26,1154289,33.3,,,,,,,,Republican,
1972 - Nixon,Utah,478476,323643,67.6,4,126284,26.4,,,,,,,,Republican,
1972 - Nixon,Vermont,186947,117149,62.7,3,68174,36.5,,,,,,,,Republican,
1972 - Nixon,Virginia,1457019,988493,67.8,11*,438887,30.1,,,,,,,,Republican,
1972 - Nixon,Washington,1470847,837135,56.9,9,568334,38.6,,,,,,,,Republican,
1972 - Nixon,West Virginia,762399,484964,63.6,6,277435,36.4,,,,,,,,Republican,
1972 - Nixon,Wisconsin,1852890,989430,53.4,11,810174,43.7,,,,,,,,Republican,
1972 - Nixon,Wyoming,145570,100464,69,3,44358,30.5,,,,,,,,Republican,
1976 - Carter,Alabama,1182850,659170,55.7,9,504070,42.6,,,,,,,,Democratic,
1976 - Carter,Alaska,123574,44058,35.7,,71555,57.9,3,,,,,,,Republican,
1976 - Carter,Arizona,742719,295602,39.8,,418642,56.4,6,,,,,,,Republican,
1976 - Carter,Arkansas,767535,498604,65,6,267903,34.9,,,,,,,,Democratic,
