Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1936 - Roosevelt,Oklahoma,749740,501069,66.8,11,245122,32.7, ,,,,,,,Democratic,
1936 - Roosevelt,Oregon,414021,266733,64.4,5,122706,29.6, ,,,,,,,Democratic,
1936 - Roosevelt,Pennsylvania,4138105,2353788,56.9,36,1690300,40.8, ,,,,,,,Democratic,
1936 - Roosevelt,Rhode Island,310278,164338,53,4,125031,40.3, ,,,,,,,Democratic,
1936 - Roosevelt,South Carolina,115437,113791,98.6,8,1646,1.4, ,,,,,,,Democratic,
1936 - Roosevelt,South Dakota,296452,160137,54,4,125977,42.5, ,,,,,,,Democratic,
1936 - Roosevelt,Tennessee,475533,327083,68.8,11,146516,30.8, ,,,,,,,Democratic,
1936 - Roosevelt,Texas,843482,734485,87.1,23,103874,12.3, ,,,,,,,Democratic,
1936 - Roosevelt,Utah,216679,150248,69.3,4,64555,29.8, ,,,,,,,Democratic,
1936 - Roosevelt,Vermont,143689,62124,43.2, ,81023,56.4,3,,,,,,,Republican,
1936 - Roosevelt,Virginia,334590,234980,70.2,11,98336,29.4, ,,,,,,,Democratic,
1936 - Roosevelt,Washington,692338,459579,66.4,8,206892,29.9, ,,,,,,,Democratic,
1936 - Roosevelt,West Virginia,829945,502582,60.6,8,325358,39.2, ,,,,,,,Democratic,
1936 - Roosevelt,Wisconsin,1258560,802984,63.8,12,380828,30.3, ,,,,,,,Democratic,
1936 - Roosevelt,Wyoming,103382,62624,60.6,3,38739,37.5, ,,,,,,,Democratic,
1940 - Roosevelt,Alabama,294219,250726,85.2,11,42184,14.3,,,,,,,,Democratic,
1940 - Roosevelt,Arizona,150039,95267,63.5,3,54030,36,,,,,,,,Democratic,
1940 - Roosevelt,Arkansas,200429,157213,78.4,9,42122,21,,,,,,,,Democratic,
1940 - Roosevelt,California,3268791,1877618,57.4,22,1351419,41.3,,,,,,,,Democratic,
1940 - Roosevelt,Colorado,549004,265554,48.4,,279576,50.9,6,,,,,,,Republican,
1940 - Roosevelt,Connecticut,781502,417621,53.4,8,361819,46.3,,,,,,,,Democratic,
1940 - Roosevelt,Delaware,136374,74599,54.7,3,61440,45.1,,,,,,,,Democratic,
1940 - Roosevelt,Florida,485640,359334,74,7,126158,26,,,,,,,,Democratic,
1940 - Roosevelt,Georgia,312686,265194,84.8,12,46495,14.9,,,,,,,,Democratic,
1940 - Roosevelt,Idaho,235168,127842,54.4,4,106553,45.3,,,,,,,,Democratic,
1940 - Roosevelt,Illinois,4217935,2149934,51,29,2047240,48.5,,,,,,,,Democratic,
1940 - Roosevelt,Indiana,1782747,874063,49,,899466,50.5,14,,,,,,,Republican,
1940 - Roosevelt,Iowa,1215432,578802,47.6,,632370,52,11,,,,,,,Republican,
1940 - Roosevelt,Kansas,860297,364725,42.4,,489169,56.9,9,,,,,,,Republican,
1940 - Roosevelt,Kentucky,970163,557322,57.4,11,410384,42.3,,,,,,,,Democratic,
1940 - Roosevelt,Louisiana,372305,319751,85.9,10,52446,14.1,,,,,,,,Democratic,
1940 - Roosevelt,Maine,320840,156478,48.8,,163951,51.1,5,,,,,,,Republican,
1940 - Roosevelt,Maryland,660104,384546,58.3,8,269534,40.8,,,,,,,,Democratic,
1940 - Roosevelt,Massachusetts,2026993,1076522,53.1,17,939700,46.4,,,,,,,,Democratic,
1940 - Roosevelt,Michigan,2085929,1032991,49.5,,1039917,49.9,19,,,,,,,Republican,
1940 - Roosevelt,Minnesota,1251188,644196,51.5,11,596274,47.7,,,,,,,,Democratic,
1940 - Roosevelt,Mississippi,175824,168267,95.7,9,7364,4.2,,,,,,,,Democratic,
1940 - Roosevelt,Missouri,1833729,958476,52.3,15,871009,47.5,,,,,,,,Democratic,
1940 - Roosevelt,Montana,247873,145698,58.8,4,99579,40.2,,,,,,,,Democratic,
1940 - Roosevelt,Nebraska,615878,263677,42.8,,352201,57.2,7,,,,,,,Republican,
1940 - Roosevelt,Nevada,53174,31945,60.1,3,21229,39.9,,,,,,,,Democratic,
1940 - Roosevelt,New Hampshire,235419,125292,53.2,4,110127,46.8,,,,,,,,Democratic,
1940 - Roosevelt,New Jersey,1972552,1016808,51.5,16,945475,47.9,,,,,,,,Democratic,
1940 - Roosevelt,New Mexico,183258,103699,56.6,3,79315,43.3,,,,,,,,Democratic,
1940 - Roosevelt,New York,6301596,3251918,51.6,47,3027478,48,,,,,,,,Democratic,
1940 - Roosevelt,North Carolina,822648,609015,74,13,213633,26,,,,,,,,Democratic,
1940 - Roosevelt,North Dakota,280775,124036,44.2,,154590,55.1,4,,,,,,,Republican,
1940 - Roosevelt,Ohio,3319912,1733139,52.2,26,1586773,47.8,,,,,,,,Democratic,
1940 - Roosevelt,Oklahoma,826212,474313,57.4,11,348872,42.2,,,,,,,,Democratic,
1940 - Roosevelt,Oregon,481240,258415,53.7,5,219555,45.6,,,,,,,,Democratic,
1940 - Roosevelt,Pennsylvania,4078714,2171035,53.2,36,1889848,46.3,,,,,,,,Democratic,
1940 - Roosevelt,Rhode Island,321152,182181,56.7,4,138654,43.2,,,,,,,,Democratic,
1940 - Roosevelt,South Carolina,99830,95470,95.6,8,4360,4.4,,,,,,,,Democratic,
1940 - Roosevelt,South Dakota,308427,131362,42.6,,177065,57.4,4,,,,,,,Republican,
1940 - Roosevelt,Tennessee,522823,351601,67.3,11,169153,32.4,,,,,,,,Democratic,
1940 - Roosevelt,Texas,1041168,840151,80.7,23,199152,19.1,,,,,,,,Democratic,
1940 - Roosevelt,Utah,247819,154277,62.3,4,93151,37.6,,,,,,,,Democratic,
1940 - Roosevelt,Vermont,143062,64269,44.9,,78371,54.8,3,,,,,,,Republican,
1940 - Roosevelt,Virginia,346608,235961,68.1,11,109363,31.6,,,,,,,,Democratic,
1940 - Roosevelt,Washington,793833,462145,58.2,8,322123,40.6,,,,,,,,Democratic,
1940 - Roosevelt,West Virginia,868076,495662,57.1,8,372414,42.9,,,,,,,,Democratic,
1940 - Roosevelt,Wisconsin,1405522,704821,50.1,12,679206,48.3,,,,,,,,Democratic,
1940 - Roosevelt,Wyoming,112240,59287,52.8,3,52633,46.9,,,,,,,,Democratic,
1944 - Roosevelt,Alabama,244743,198918,81.3,11,44540,18.2,,,,,,,,Democratic,
1944 - Roosevelt,Arizona,137634,80926,58.8,4,56287,40.9,,,,,,,,Democratic,
1944 - Roosevelt,Arkansas,212954,148965,70,9,63551,29.8,,,,,,,,Democratic,
1944 - Roosevelt,California,3520875,1988564,56.5,25,1512965,43,,,,,,,,Democratic,
1944 - Roosevelt,Colorado,505039,234331,46.4,,268731,53.2,6,,,,,,,Republican,
1944 - Roosevelt,Connecticut,831990,435146,52.3,8,390527,46.9,,,,,,,,Democratic,
1944 - Roosevelt,Delaware,125361,68166,54.4,3,56747,45.3,,,,,,,,Democratic,
1944 - Roosevelt,Florida,482803,339377,70.3,8,143215,29.7,,,,,,,,Democratic,
1944 - Roosevelt,Georgia,328129,268187,81.7,12,56506,17.2,,,,,,,,Democratic,
1944 - Roosevelt,Idaho,208321,107399,51.6,4,100137,48.1,,,,,,,,Democratic,
1944 - Roosevelt,Illinois,4036061,2079479,51.5,28,1939314,48,,,,,,,,Democratic,
1944 - Roosevelt,Indiana,1672091,781403,46.7,,875891,52.4,13,,,,,,,Republican,
1944 - Roosevelt,Iowa,1052599,499876,47.5,,547267,52,10,,,,,,,Republican,
1944 - Roosevelt,Kansas,733776,287458,39.2,,442096,60.2,8,,,,,,,Republican,
