_l;Zone d'Emploi;name;name2;;Revenus fiscaux des ménages 2009 : nombre de ménages fiscaux;Revenus fiscaux des ménages 2009 : nombre de personnes dans les ménages fiscaux;Revenus fiscaux des ménages 2009 : part des ménages fiscaux imposés;Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Quartile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 4ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 5ème Décile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 6ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 7ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 8ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 9ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : Rapport inter-déciles (sans unité);Revenus fiscaux des ménages 2009 : part des revenus salariaux (%);Revenus fiscaux des ménages 2009 : part des pensions; retraites; rentes (%);Revenus fiscaux des ménages 2009 : part des revenus des professions non-salariées (%);Revenus fiscaux des ménages 2009 : part des autres revenus (%);Chomage_2003;Chomage_2004;Chomage_2005;Chomage_2006;Chomage_2007;Chomage_2008;Chomage_2009;Chomage_2010;Chomage_2003_2010;Agriculture;Industrie;Construction;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;Agriculture%;Industrie%;Construction%;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;POP_TOT_99;POP_TOT_09;EVOL_POP_99_09;POP_M20A_P60A_09;POP_20A59A_09;TAUX_DEP_ECO_09;POP_M20A_09;POP_P60A_09;INDIC_JEUN_09;REV_ PAR_UC_MED_09;REV_ PAR_UC_D1_09;POP_ACT_15A64A_09;POP_15A64A_09;TX_ACT_09;POP_ACT_EMP_15A64A_09;POP_15A64A_09;TX_EMP_15A64A_09;POP_ACT_EMP_55A64A_09;POP_55A64A_09;TX_EMP_55A64A_09;POP_F_EMP_15A64A_09;POP_F_15A64A_09;TX_EMP_F_15A64A_09;EST_EMP_98;EST_EMP_09;EVOL_EST_EMP_98_09;TX_CHOM_T1_03;TX_CHOM_T4_11;EVOL_ TX_CHOM_T1_03_T4_11;DE_A_11;DE_ABC_11;PART_F_DE_ABC_11;PART_J_DE_ABC_11;PART_LD_DE_ABC_11;POP_15A64A_09_p;ZONE_OUT
[ 48.98744776368758 , 1.6557178651652593];1110;Mantes-la-Jolie;Mantes-la-Jolie;165854;60722;168709.5;67.11;12013;19243;27019;6581;10389;13565;16462;19243;22016;25151;29139;35906;5.46;71.42;20.98;3.45;4.14;9.2;;9.7;9.4;9.4;9;8.3;10.1;10.3;10.3;0.6;65;7168;3438;16294;13035;40000;3659;43659;0.16;17.92;8.60;40.74;32.59;40000.00;3659.00;43659.00;158,806;165,864;0.4;76885;88979;86.4;48,023;28,862;166.4;19243;6581;79054;109,631;72.1;69,970;109,631;63.8;7,680;19,222;40.0;32,605;54,804;59.5;40,544;43,659;0.7;8.8;10.4;1.6;8,585;12,168;47.2;17.3;37.4;1.5129;69452.16
[ 48.95437015254614 , 1.924802783866174];1111;Poissy;Poissy;244750;91681;248045.5;72.83;13780;21834;31589;7847;12007;15498;18682;21834;25185;29133;34433;43956;5.6;73.71;19.04;3.24;4.02;7.7;;8.4;8.2;8;7.5;6.6;8;8.3;8.2;-0.2;82;20455;4836;27477;17897;70747;5349;76096;0.12;28.91;6.84;38.84;25.30;70747.00;5349.00;76096.00;235,468;244,763;0.4;110240;134523;81.9;68,222;42,018;162.4;21834;7847;121333;163,275;74.3;109,537;163,275;67.1;12,907;28,986;44.5;52,766;82,680;63.8;76,237;76,096;0.0;7.3;8.4;1.1;10,542;14,978;48.8;14.6;35.8;1.4991;109928.58
[ 48.630991074154856 , 1.8046892164276767];1112;Rambouillet;Rambouillet;71512;28123;72054.5;77.4;18366;25632;35057;12360;16660;19952;22777;25632;28782;32674;37998;47473;3.84;68.57;20.96;4.15;6.31;5.2;;5.6;5.7;5.5;4.5;4;5.3;5.7;5.5;-0.1;126;3054;1536;8966;5974;19656;2114;21770;0.64;15.54;7.81;45.61;30.39;19656.00;2114.00;21770.00;66,151;71,496;0.8;33409;38087;87.7;19,024;14,384;132.3;25632;12360;35265;47,348;74.5;32,904;47,348;69.5;4,445;9,605;46.3;15,727;23,959;65.6;20,873;21,770;0.4;4.9;5.4;0.5;1,864;2,854;51.7;15.1;34.8;1.5100;32843.94
[ 48.84535880994249 , 1.8548285709877623];1113;Plaisir;Plaisir;53822;20001;54081;77.38;16587;24480;33465;10003;14737;18238;21440;24480;27588;31168;36160;45064;4.51;74.83;17.91;3.18;4.07;5.8;;6.4;6.3;5.9;5.3;4.5;5.7;6;5.9;-0.5;67;3512;989;10572;4508;19648;1289;20937;0.34;17.87;5.03;53.81;22.94;19648.00;1289.00;20937.00;51,602;53,819;0.4;23625;30194;78.2;15,042;8,583;175.2;24480;10003;28063;36,732;76.4;26,086;36,732;71.0;3,043;6,381;47.7;12,598;18,464;68.2;16,585;20,937;2.4;5.5;5.9;0.4;1,682;2,406;49.4;14.8;31.2;1.4652;26361.75
[ 48.39571755043737 , 2.1376186001100517];1114;Étampes;Étampes;57241;23442;59510;67.04;13721;20529;28079;7865;12045.5;15256;17890;20529;23283;26338.5;30208;37367;4.75;68.07;21.98;4.46;5.49;6.4;;6.5;6.5;6.3;5.4;5.1;6.4;6.9;6.7;0.2;77;1183;1143;7529;6696;16628;1638;18266;0.46;7.11;6.87;45.28;40.27;16628.00;1638.00;18266.00;54,350;57,244;0.5;26432;30812;85.8;15,203;11,229;135.4;20529;7865;27868;37,666;74.0;25,296;37,666;67.2;2,841;7,008;40.5;11,923;18,712;63.7;16,601;18,266;0.9;6.2;6.9;0.7;2,208;3,270;50.5;16.6;31.1;1.5198;25325.90
[ 48.50328733166905 , 2.3956743344598537];1115;Évry;Évry;328002;120755;332318.5;69.05;11855;19894;28340;6277;10060;13595;16841;19894;22949;26357;30705;38141;6.08;74.36;19.12;2.96;3.56;7.9;;8.4;8.2;7.7;6.7;6.1;7.7;8;7.9;-0.5;156;14793;7319;65254;48525;136047;6980;143027;0.11;10.87;5.38;47.96;35.67;136047.00;6980.00;143027.00;300,881;327,996;0.9;145308;182688;79.5;97,190;48,118;202.0;19894;6277;161272;220,994;73.0;144,074;220,994;65.2;15,350;34,174;44.9;68,498;109,779;62.4;121,518;143,027;1.6;7.7;8;0.3;13,644;19,448;49.3;15.9;29.7;1.4842;144220.12
[ 48.666612212982926 , 2.0968115635480187];1116;Saclay;Saclay;1139722;445499;1144951.5;77.12;16673;25135;35722;9826;14718;18472;21817;25135;28733;33060;39039;49785;5.07;71.35;19.92;3.34;5.39;5.8;;6.2;6.1;5.7;5;4.5;5.7;6.1;5.9;-0.3;576;69610;36406;273494;139552;519638;27633;547271;0.11;13.40;7.01;52.63;26.86;519638.00;27633.00;547271.00;1,096,638;1,139,688;0.4;518941;620747;83.6;307,767;211,174;145.7;25135;9826;568512;755,935;75.2;524,705;755,935;69.4;64,175;130,700;49.1;252,335;381,405;66.2;485,902;547,271;1.1;5.5;6;0.5;35,967;52,074;49.7;13.7;34.0;1.5077;530859.84
[ 48.72745444380038 , 2.694343727200908];1117;Créteil;Créteil;545939;206537;551403.5;72.48;13980;21730;30391;7953;12168;15688;18772;21730;24758;28270;32946;41100;5.17;71.94;19.76;3.79;4.5;6.7;;7.2;7.1;6.8;6;5.4;6.6;7;7.1;-0.1;238;14371;12852;78478;74285;180224;12183;192407;0.13;7.97;7.13;43.54;41.22;180224.00;12183.00;192407.00;509,785;545,925;0.7;245789;300136;81.9;152,059;93,731;162.2;21730;7953;273838;365,845;74.9;248,327;365,845;67.9;29,117;63,206;46.1;122,494;188,240;65.1;177,393;192,407;0.8;6.3;7.3;1;20,372;28,212;49.9;15.6;32.2;1.4922;249437.41
[ 48.738212338883606 , 2.399003384384726];1118;Orly;Orly;480936;189871;489267.5;65.9;10388;17932;26484;5425;8865;11939;14933;17932;21047;24494;28855;36071;6.65;73.81;20.02;2.66;3.51;9.3;;9.9;9.8;9.6;8.6;7.4;8.8;9.2;9.2;-0.7;22;18389;18956;133845;43017;214229;9784;224013;0.01;8.58;8.85;62.48;20.08;214229.00;9784.00;224013.00;443,284;480,932;0.8;210965;269967;78.1;127,493;83,472;152.7;17932;5425;241160;322,314;74.8;210,457;322,314;65.3;23,162;50,856;45.5;101,591;163,392;62.2;198,508;224,013;1.2;8.9;9.4;0.5;24,215;33,137;47.7;13.8;34.5;1.4921;210949.68
[ 49.10254047993458 , 1.9680708324242573];1119;Cergy;Cergy;387766;141853;386127;71.91;13778;21381;29717;7793;12039;15460;18503;21381;24359;27691;32173;39578;5.08;76.15;17.11;3.12;3.62;7.3;;8;7.9;7.5;6.7;6.1;7.7;8.2;8.2;0.2;235;21863;9315;67329;45864;144606;8869;153475;0.16;15.12;6.44;46.56;31.72;144606.00;8869.00;153475.00;365,580;387,731;0.6;165978;221753;74.8;110,474;55,504;199.0;21381;7793;199526;268,480;74.3;180,211;268,480;67.1;19,975;43,885;45.5;87,558;135,663;64.5;143,519;153,475;0.6;6.9;8.3;1.4;17,256;24,674;49.7;15.3;35.6;1.4442;180351.05
[ 49.71371139093689 , 4.751163861457988];2101;Charleville-Mézières;Charleville-Mézières;232330;98261;231735;51.43;9897;15734;22263;4969;8510;11185;13477;15734;18055;20696;24170;30188;6.08;62.6;27.17;5.45;4.78;12.6;;12.9;12.8;13.3;11.6;10.9;13.1;12.1;11.9;-1;627;19332;4384;24050;27847;76240;6924;83164;0.82;25.36;5.75;31.55;36.53;76240.00;6924.00;83164.00;241,112;232,352;-0.4;110385;121967;90.5;58,576;51,810;113.1;15734;4969;102976;149,823;68.7;87,199;149,823;58.2;9,706;29,773;32.6;38,644;74,449;51.9;85,111;83,164;-0.2;12.1;12.4;0.3;12,632;18,505;48.3;18.6;43.6;1.5508;88465.43
[ 48.309315525105326 , 4.159147057727369];2102;Troyes;Troyes;309771;132508;303880;56.96;11646;17422;24170;6310.5;10153;12978;15313;17422;19674;22448;26260;33913;5.37;57.52;26.08;9.69;6.72;9.1;;9.5;9.6;9.7;8.6;8.2;9.6;9.7;10.1;0.6;2566;20875;7407;41643;32859;105350;12842;118192;2.44;19.81;7.03;39.53;31.19;105350.00;12842.00;118192.00;298,306;309,892;0.4;150093;159799;93.9;76,025;74,069;102.6;17422;6311;141034;197,889;71.3;123,413;197,889;62.4;14,309;40,444;35.4;57,653;98,730;58.4;118,737;118,192;0.0;8.8;10.6;1.8;15,231;22,452;51.9;17.5;36.3;1.5660;124813.97
[ 48.994680113964556 , 4.546876199249509];2103;Châlons-en-Champagne;Châlons-en-Champagne;105150;43481;102352.5;59.99;12493;18335;25090;7565;11055;13797;16131;18335;20650;23396;27174.5;34141;4.51;61.55;24.67;7.81;5.97;6.4;;6.7;6.9;7.1;6.7;6.4;7.9;7.8;7.8;1.1;486;5183;2119;17450;23775;49013;3952;52965;0.99;10.57;4.32;35.60;48.51;49013.00;3952.00;52965.00;103,983;105,150;0.1;49813;55337;90.0;26,553;23,260;114.2;18335;7565;49597;67,969;73.0;44,485;67,969;65.4;5,059;13,435;37.7;20,768;33,816;61.4;47,295;52,965;1.1;6.4;8.1;1.7;4,339;6,742;51.1;19.1;37.8;1.5470;44840.66
[ 48.8591852260684 , 3.8021484250259934];2104;Épernay;Épernay;110521;47144;109076.5;61.95;13338;19351;27379;8135;11906;14682;17007;19351;21941;25268;30325;41482;5.1;49.63;21.99;18.76;9.62;5.6;;6;6.1;6.2;5.6;5.3;6.7;6.9;7;1;4135;9507;1800;12181;9421;37044;7239;44283;11.16;25.66;4.86;32.88;25.43;37044.00;7239.00;44283.00;109,902;110,516;0.1;52748;57768;91.3;26,190;26,558;98.6;19351;8135;53174;70,992;74.9;48,135;70,992;67.8;5,988;15,031;39.8;22,572;35,533;63.5;47,233;44,283;-0.6;5.3;7.5;2.2;4,426;7,134;53.3;20.2;36.9;1.5567;48119.13
[ 49.35483232215684 , 4.283651225057222];2105;Reims;Reims;349937;143767;331437.5;60.3;12054;18473;26307;6571;10440;13474;16012;18473;21064;24287;28815;37506;5.71;61.86;22.5;9.03;6.61;8.7;;9.1;9.5;9.5;8.3;7.8;9.7;9.6;9.8;0.7;2820;17372;8785;60432;43733;133142;12874;146016;2.12;13.05;6.60;45.39;32.85;133142.00;12874.00;146016.00;347,583;349,938;0.1;157458;192480;81.8;87,411;70,047;124.8;18473;6571;166131;235,995;70.4;147,132;235,995;62.3;16,793;41,937;40.0;69,437;119,248;58.2;145,121;146,016;0.1;8.6;10.2;1.6;15,422;23,849;49.0;18.0;38.7;1.4828;148330.43
[ 47.99763620437953 , 5.301003025639452];2106;Chaumont - Langres;Chaumont - Langres;113520;50138;112198;52.99;11824;16937;22949;7336;10610;12926;14971;16937;19063;21510;24778;30791;4.2;58.3;29.84;6.22;5.64;6.8;;7.5;7.4;7.6;6.5;6.2;8.2;7.7;7.4;-0.1;635;8538;2366;13842;14930;40311;4740;45051;1.58;21.18;5.87;34.34;37.04;40311.00;4740.00;45051.00;117,126;113,546;-0.3;55970;57576;97.2;25,653;30,317;84.6;16937;7336;51461;71,391;72.1;46,209;71,391;64.7;5,574;15,513;35.9;21,005;35,035;60.0;44,632;45,051;0.1;6.5;7.4;0.9;3,839;6,390;53.0;19.4;38.6;1.5905;47141.33
[ 48.58170850939916 , 4.839314053263563];2107;Vitry-le-François - Saint-Dizier;Vitry-le-François - Saint-Dizier;116540;49728;116172;51.95;10594;15981;21925;5826;9211;11797;13931;15981;18061;20476;23695;29503;5.06;58.86;29.6;6.02;5.52;9.5;;10.2;10.2;10.5;9.4;9;11.3;10.7;10.5;0.3;458;9346;2153;12869;13127;37953;4041;41994;1.21;24.63;5.67;33.91;34.59;37953.00;4041.00;41994.00;124,190;116,559;-0.6;56839;59720;95.2;27,862;28,977;96.2;15981;5826;51117;73,763;69.3;43,993;73,763;59.6;4,919;15,487;31.8;19,474;36,516;53.3;43,887;41,994;-0.4;9.3;11.2;1.9;5,829;8,736;50.1;19.3;40.8;1.5802;44660.22
[ 49.07186110808768 , 3.4493300663480944];2201;Château-Thierry;Château-Thierry;66595;26988;66535.5;58.86;12169;17928;24795;7290;10845;13404;15665;17928;20301;23099;26864;34212;4.69;60.29;23.51;10.03;6.17;8.7;;9.5;9.9;9.8;9.2;8.8;11;11.2;11.2;1.7;842;3083;1261;6543;5895;17624;2568;20192;4.78;17.49;7.16;37.13;33.45;17624.00;2568.00;20192.00;62,849;66,570;0.6;31698;34872;90.9;17,339;14,360;120.7;17928;7290;31354;42,658;73.5;27,675;42,658;64.9;3,092;8,363;37.0;12,654;21,165;59.8;20,616;20,192;-0.2;8.3;12.1;3.8;3,614;5,357;50.5;20.2;42.2;1.5606;27413.16
[ 49.60451517575819 , 3.2462867810283256];2202;Tergnier;Tergnier;56567;23611;56435;52.05;9907;15551;21787;5008;8532;11174;13353;15551;17762;20278;23476;29262;5.84;61.87;29.15;4.79;4.19;11.5;;11.8;12.4;12.4;11.1;11;13.9;14;14;2.2;140;3141;931;5218;6151;15581;1313;16894;0.90;20.16;5.98;33.49;39.48;15581.00;1313.00;16894.00;56,702;56,582;0.0;27453;29129;94.2;14,468;12,985;111.4;15551;5008;23960;35,911;66.7;20,441;35,911;56.9;2,070;7,103;29.1;9,031;18,228;49.5;16,446;16,894;0.2;11.8;14.9;3.1;3,516;4,934;49.3;21.1;39.9;1.5756;20615.01
[ 49.90408234297744 , 3.9064383731932066];2203;Thiérache;Thiérache;59981;24837;59560;45.62;8699.5;14141;20140;3897;7452;9931;12067;14141;16244;18649;21822.5;27123;6.96;57.48;29.64;6.94;5.94;13.4;;13.9;14.3;14.3;13.2;13.1;15.4;16;16;2.1;264;4493;992;4590;5926;16265;2307;18572;1.62;27.62;6.10;28.22;36.43;16265.00;2307.00;18572.00;61,829;59,958;-0.3;30019;29939;100.3;15,332;14,687;104.4;14141;3897;24837;37,418;66.4;20,655;37,418;55.2;2,288;7,954;28.8;8,868;18,458;48.0;17,328;18,572;0.7;13.3;16.5;3.2;3,797;5,287;47.9;22.2;46.7;1.6024;20622.84
[ 49.595395996293405 , 3.7828542097045594];2204;Laon;Laon;100622;40495;98867;54.04;10635;16476;23108;5905;9246;11961;14205;16476;18783;21505;25048;31676;5.36;62.32;25;7.25;5.43;8.9;;9.6;10;10;9.3;9;11;11.7;11.8;2.2;647;3641;2623;11465;16230;34606;3083;37689;1.87;10.52;7.58;33.13;46.90;34606.00;3083.00;37689.00;97,288;100,626;0.3;47223;53403;88.4;26,292;20,931;125.6;16476;5905;46424;65,269;71.1;40,244;65,269;61.7;4,394;12,493;35.2;18,060;32,319;55.9;36,267;37,689;0.4;8.6;12.3;3.7;5,940;8,530;50.2;20.7;45.0;1.5417;40268.13
[ 49.861085766270534 , 3.3508079580265675];2205;Saint-Quentin;Saint-Quentin;138379;57855;138708.5;52.75;9653;15794;22481;4626;8149;11005;13519;15794;18129;20837;24473;30986;6.7;60.36;27.71;6.78;5.15;11.9;;12.2;12.6;12.8;12;11.9;14.6;14.8;14.9;2.7;536;8144;2743;16532;14879;42834;3858;46692;1.25;19.01;6.40;38.60;34.74;42834.00;3858.00;46692.00;141,416;138,384;-0.2;67302;71082;94.7;36,374;30,928;117.6;15794;4626;59683;88,172;67.7;50,156;88,172;56.9;5,575;17,829;31.3;22,719;44,429;51.1;50,180;46,692;-0.6;12;15.4;3.4;8,818;12,796;48.4;22.3;46.2;1.5695;50891.70
[ 49.387705955033525 , 3.377235760273314];2206;Soissons;Soissons;93572;38460;93569;55.3;10952;16639.5;23297;6264;9563;12213;14461;16639.5;19035;21706;25281;32029;5.11;61.97;26.43;6.19;5.41;10.9;;11;11.2;11.5;10.3;9.7;12.1;12.5;12.7;1.7;496;4530;1945;10755;10360;28086;2657;30743;1.77;16.13;6.93;38.29;36.89;28086.00;2657.00;30743.00;92,255;93,551;0.1;44658;48893;91.3;23,687;20,971;113.0;16640;6264;42393;60,267;70.3;36,383;60,267;60.4;4,224;12,240;34.5;16,479;30,176;54.6;32,620;30,743;-0.5;11;13;2;5,622;8,186;49.0;19.8;43.9;1.5523;36412.16
[ 49.46393715695279 , 2.0332488501984733];2207;Beauvais;Beauvais;244051;94494;244474.5;61.89;12269;18376;25158;7071;10771;13605;16092;18376;20726;23459;27130;33307;4.71;67.73;22.16;5.34;4.77;7.8;;8.3;8.6;8.6;7.8;7.4;9.5;9.7;9.1;0.8;753;17361;5087;30305;29769;83274;6961;90235;0.90;20.85;6.11;36.39;35.75;83274.00;6961.00;90235.00;230,955;244,045;0.6;113320;130725;86.7;67,012;46,309;144.7;18376;7071;117154;160,495;73.0;103,694;160,495;64.6;10,857;29,726;36.5;47,986;80,388;59.7;85,517;90,235;0.5;7.5;9.2;1.7;11,239;16,972;52.1;23.0;37.6;1.5206;103888.98
[ 49.48485198465687 , 2.84914997362789];2208;Compiègne;Compiègne;202434;79028;198554.5;62.84;12708;18860;26111;7587;11281;14015;16455;18860;21344;24333;28268;35557;4.69;67.5;22.33;4.81;5.36;8.1;;8.5;8.7;8.6;7.6;7.3;9.6;9.7;9.7;1.2;598;15471;5581;27231;18728;67609;5431;73040;0.88;22.88;8.25;40.28;27.70;67609.00;5431.00;73040.00;194,695;202,429;0.4;92622;109807;84.4;53,535;39,087;137.0;18860;7587;96463;134,012;72.0;85,795;134,012;64.0;9,142;24,494;37.3;38,809;66,262;58.6;71,441;73,040;0.2;7.9;9.9;2;9,004;14,501;51.8;20.1;41.3;1.5105;86343.84
[ 50.192223556225315 , 1.8195523100582252];2209;Abbeville;Abbeville;69904;29073;69509.5;51.37;10321;15969;22451;5433;8866;11509;13806;15969;18244;20831;24440;31515;5.8;57.48;28.14;7.99;6.4;9.9;;10.2;10.2;10.8;9.5;9.4;11.3;11.2;11.2;1;715;2885;1419;8448;7698;21165;2677;23842;3.38;13.63;6.70;39.91;36.37;21165.00;2677.00;23842.00;67,448;69,923;0.4;34454;35469;97.1;16,970;17,484;97.1;15969;5433;30087;43,928;68.5;25,963;43,928;59.1;2,853;9,447;30.2;11,976;22,198;53.9;22,413;23,842;0.6;9.8;11.6;1.8;3,657;5,091;49.1;22.9;36.9;1.5918;26358.05
[ 49.89739214252564 , 2.340146965805591];2210;Amiens;Amiens;385677;154095;369949.5;57.65;11183;17344;24328;5964;9698;12557;15028;17344;19795;22611;26489;33678;5.65;63.75;24.11;6.54;5.6;9.9;;10.4;10.5;10.8;10.1;9.3;11.3;11.6;11.5;1.1;1468;21803;7625;55908;55309;142114;10916;153030;1.03;15.34;5.37;39.34;38.92;142114.00;10916.00;153030.00;375,431;385,716;0.3;177472;208244;85.2;98,912;78,560;125.9;17344;5964;178168;256,603;69.4;154,777;256,603;60.3;16,270;46,238;35.2;72,863;129,449;56.3;143,879;153,030;0.6;9.8;11.6;1.8;19,983;30,308;50.1;21.5;42.5;1.5032;155261.85
[ 49.898469840317475 , 2.947521291786627];2211;Péronne;Péronne;56500;23076;56952;51.44;10390;15773;21760;5977;9099;11617;13757;15773;17863;20284;23581;29639;4.96;59.18;27.52;7.67;5.63;8.3;;8.5;9.2;9.9;8.8;8.6;11.1;11.3;11.3;2.8;892;5509;952;7449;5813;20615;1973;22588;4.33;26.72;4.62;36.13;28.20;20615.00;1973.00;22588.00;56,042;56,488;0.1;27790;28698;96.8;14,125;13,665;103.4;15773;5977;24774;35,507;69.8;20,974;35,507;59.1;2,328;7,305;31.9;9,208;17,653;52.2;25,569;22,588;-1.1;8.4;11.9;3.5;2,944;4,630;52.5;20.0;43.2;1.5909;21402.98
[ 49.06501274531768 , 0.5988177693246496];2301;Bernay;Bernay;58087;24867;58351;56.05;11817;17338;23717;6920;10480;13108;15253;17338;19553;22114;25541;31921;4.61;58.39;29;6.42;6.19;8.8;;9.4;9.8;9.5;7.9;7.4;10;9.8;10;0.6;290;4110;1322;5455;4594;15771;2438;18209;1.84;26.06;8.38;34.59;29.13;15771.00;2438.00;18209.00;55,382;58,074;0.5;29118;28956;100.6;14,012;15,106;92.8;17338;6920;25925;36,123;71.8;22,741;36,123;63.0;2,544;7,956;32.0;10,348;18,226;56.8;19,485;18,209;-0.6;8.6;10.8;2.2;2,767;4,327;53.5;19.5;45.4;1.6077;22748.59
[ 48.93389310930569 , 1.0525868062504133];2302;Évreux;Évreux;215076;86787;212647;61.96;12845;18746;25588;7385;11357;14149;16532;18746;21127;23909;27692;34507;4.67;65.48;24.04;4.97;5.51;7.6;;8.3;8.3;8.6;7.9;7.3;9.2;9.6;9.5;1.2;559;13684;4439;29074;27994;75750;7029;82779;0.74;18.06;5.86;38.38;36.96;75750.00;7029.00;82779.00;200,712;215,121;0.7;101390;113731;89.1;57,248;44,142;129.7;18746;7385;103130;139,527;73.9;91,704;139,527;65.7;10,034;26,562;37.8;43,871;70,521;62.2;81,299;82,779;0.2;7.4;9.7;2.3;10,010;15,836;51.5;19.4;41.9;1.5418;91925.54
[ 49.33594058687358 , 0.4875625857313282];2303;Pont-Audemer;Pont-Audemer;49274;20883;50120;55.48;11839;17345;23873.5;7363;10562;13040;15233;17345;19600;22280;25897;32717;4.44;62.71;25.38;5.91;6;8.8;;9.3;8.9;8.9;7.8;7.1;9.2;9.7;9.6;0.3;194;2455;1422;5003;3785;12859;1907;14766;1.51;19.09;11.06;38.91;29.43;12859.00;1907.00;14766.00;43,731;49,307;1.2;23713;25594;92.7;12,567;11,146;112.7;17345;7363;22851;31,422;72.7;20,417;31,422;65.0;2,130;6,368;33.5;9,169;15,641;58.6;13,084;14,766;1.2;8.3;9.7;1.4;2,271;3,601;53.7;20.6;41.4;1.5692;19734.82
[ 49.22358533152939 , 1.5112965776748533];2304;Vernon - Gisors;Vernon - Gisors;121933;47755;122166.5;63.27;12808;18732;25703;7618;11326;14095;16453;18732;21096;23928;27821;34762;4.56;67.05;23.03;4.68;5.24;8.5;;8.9;8.8;9.4;8.8;8.1;10.5;10.8;10.9;2;359;8764;2677;14502;9281;35583;3384;38967;1.01;24.63;7.52;40.76;26.08;35583.00;3384.00;38967.00;113,648;121,975;0.7;57558;64417;89.4;33,626;23,932;140.5;18732;7618;58192;79,315;73.4;51,483;79,315;64.9;5,629;15,152;37.2;23,726;39,694;59.8;38,315;38,967;0.2;8.4;11.4;3;6,311;9,603;52.9;20.5;43.3;1.5379;51122.27
[ 49.84152591920188 , 1.063754483049626];2305;Dieppe - Caux maritime;Dieppe - Caux maritime;123726;52061;122947;55.41;11484;16883.5;23294;6662;10137;12650;14786;16883.5;19103;21661;25379;32106;4.82;60.52;27.87;6.28;5.32;9.4;;9.4;9.4;9.6;8.4;8.1;9.9;9.7;9.7;0.3;665;10197;2664;14238;12432;40196;4239;44435;1.65;25.37;6.63;35.42;30.93;40196.00;4239.00;44435.00;121,486;123,723;0.2;60558;63165;95.9;30,873;29,685;104.0;16884;6662;55281;78,275;70.6;48,547;78,275;62.0;5,284;16,340;32.3;22,440;39,680;56.6;43,142;44,435;0.3;9.6;9.8;0.2;5,656;8,841;52.2;22.0;44.2;1.5806;49150.46
[ 49.602191287787676 , 0.4167108058607177];2306;Le Havre;Le Havre;402152;167502;400689.5;59.2;11555;17620;24669;6210;10048;12893;15300;17620;20088;22921;26771;33460;5.39;65.48;25.56;4.46;4.5;10.7;;11.3;11.2;11.2;10;9.5;11.8;12.2;12.1;0.8;541;30190;10345;64132;44968;150176;9230;159406;0.36;20.10;6.89;42.70;29.94;150176.00;9230.00;159406.00;409,313;402,193;-0.2;191911;210282;91.3;105,063;86,848;121.0;17620;6210;181018;260,156;69.6;157,439;260,156;60.5;16,218;50,077;32.4;72,813;131,868;55.2;151,010;159,406;0.5;10.8;12.2;1.4;21,807;32,486;49.5;22.1;43.2;1.5460;158716.21
[ 49.49678706564988 , 1.1576744933879808];2307;Rouen;Rouen;819550;336246;796534.5;60.37;12246;18389;25465;6779;10688;13621;16059;18389;20832;23713;27629;34640;5.11;65.63;24.54;5.07;4.76;9.2;;9.7;9.7;9.5;8.5;7.8;9.9;10;9.9;0.2;1452;49205;23060;132590;105060;311367;23225;334592;0.47;15.80;7.41;42.58;33.74;311367.00;23225.00;334592.00;792,708;819,550;0.3;381047;438503;86.9;208,961;172,086;121.4;18389;6779;383484;538,603;71.2;338,602;538,603;62.9;35,423;98,140;36.1;162,377;272,887;59.5;310,421;334,592;0.7;9.1;10.1;1;38,735;61,746;50.4;20.4;40.4;1.5216;339286.59
[ 47.0439485407616 , 2.528994313131552];2401;Bourges;Bourges;195257;86676;194297.5;59.4;12509;18273;24915;7240;11086;13816;16090;18273;20563;23249;26937;33510;4.63;60.28;28.89;5.51;5.32;7.7;;8.2;8.3;8.3;7.3;6.7;8.3;8.9;8.9;0.7;879;11696;4315;28407;27444;72741;6891;79632;1.21;16.08;5.93;39.05;37.73;72741.00;6891.00;79632.00;196,274;195,228;-0.1;94611;100617;94.0;44,403;50,208;88.4;18273;7240;89532;124,602;71.9;80,058;124,602;64.3;9,441;26,435;35.7;37,536;62,063;60.5;76,582;79,632;0.4;7.4;9.3;1.9;8,451;12,170;52.5;18.1;36.5;1.5668;80796.43
