_l;Zone d'Emploi;name;name2;;Revenus fiscaux des ménages 2009 : nombre de ménages fiscaux;Revenus fiscaux des ménages 2009 : nombre de personnes dans les ménages fiscaux;Revenus fiscaux des ménages 2009 : part des ménages fiscaux imposés;Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Quartile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 4ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 5ème Décile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 6ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 7ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 8ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 9ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : Rapport inter-déciles (sans unité);Revenus fiscaux des ménages 2009 : part des revenus salariaux (%);Revenus fiscaux des ménages 2009 : part des pensions; retraites; rentes (%);Revenus fiscaux des ménages 2009 : part des revenus des professions non-salariées (%);Revenus fiscaux des ménages 2009 : part des autres revenus (%);Chomage_2003;Chomage_2004;Chomage_2005;Chomage_2006;Chomage_2007;Chomage_2008;Chomage_2009;Chomage_2010;Chomage_2003_2010;Agriculture;Industrie;Construction;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;Agriculture%;Industrie%;Construction%;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;POP_TOT_99;POP_TOT_09;EVOL_POP_99_09;POP_M20A_P60A_09;POP_20A59A_09;TAUX_DEP_ECO_09;POP_M20A_09;POP_P60A_09;INDIC_JEUN_09;REV_ PAR_UC_MED_09;REV_ PAR_UC_D1_09;POP_ACT_15A64A_09;POP_15A64A_09;TX_ACT_09;POP_ACT_EMP_15A64A_09;POP_15A64A_09;TX_EMP_15A64A_09;POP_ACT_EMP_55A64A_09;POP_55A64A_09;TX_EMP_55A64A_09;POP_F_EMP_15A64A_09;POP_F_15A64A_09;TX_EMP_F_15A64A_09;EST_EMP_98;EST_EMP_09;EVOL_EST_EMP_98_09;TX_CHOM_T1_03;TX_CHOM_T4_11;EVOL_ TX_CHOM_T1_03_T4_11;DE_A_11;DE_ABC_11;PART_F_DE_ABC_11;PART_J_DE_ABC_11;PART_LD_DE_ABC_11;POP_15A64A_09_p;ZONE_OUT
[ 43.50435519467094 , 1.4015513317792005];61;Toulouse;Toulouse;1352116;560788;1294208;61.95;13060;19874;28135;7348;11454;14522;17210;19874;22707;26080;30613;38633;5.26;67.55;20.85;5.48;6.11;9.5;;9.7;9.6;9.6;8.6;7.7;9.2;9.5;9.4;-0.3;1901;75081;35219;272535;175766;560502;55209;615711;0.34;13.40;6.28;48.62;31.36;560502.00;55209.00;615711.00;1,139,281;1,352,215;1.7;596204;756011;78.9;330,445;265,759;124.3;19874;7348;664975;913,943;72.8;594,282;913,943;65.0;64,330;150,075;42.9;280,234;458,248;61.2;487,564;615,711;2.4;9.4;9.5;0.1;67,423;107,004;53.8;16.0;37.1;1.4795;588830.21
[ 48.876663023522866 , 2.3162069162641514];1101;Paris;Paris;5897026;2568556;5836293;71.21;12266;22336;35916;6013;10238;14288;18296;22336;26834;32407;40289;55171;9.18;69.06;17.23;5.31;8.39;9;;9.4;9.1;8.7;7.9;6.9;8.2;8.5;8.3;-1.1;957;235229;119861;2275324;846910;3478281;207203;3685484;0.03;6.76;3.45;65.42;24.35;3478281.00;207203.00;3685484.00;5,486,247;5,897,029;0.7;2472041;3424988;72.2;1,387,921;1,084,120;128.0;22336;6013;3083320;4,055,099;76.0;2,733,075;4,055,099;67.4;342,252;652,384;52.5;1,355,029;2,092,533;64.8;3,452,318;3,685,484;0.6;8.8;8.6;-0.2;282,882;407,659;48.6;9.0;41.3;1.4542;2741585.24
[ 48.838436647359806 , 2.7959674052738506];1102;Marne-la-Vallée;Marne-la-Vallée;319468;121000;326329.5;72.56;13563;21514;30377;7536;11805;15274;18460;21514;24629;28214;32899;40908;5.43;78.38;14.28;3.54;3.8;7.1;;7.6;7.4;7.1;6.3;5.6;6.8;7.2;7.1;-0.5;48;12328;7155;90913;32515;142959;6944;149903;0.03;8.62;5.00;63.59;22.74;142959.00;6944.00;149903.00;273,950;319,464;1.5;132109;187355;70.5;90,438;41,670;217.0;21514;7536;171609;222,754;77.0;155,645;222,754;69.9;16,158;33,456;48.3;76,580;114,049;67.1;121,352;149,903;2.1;6.7;7.3;0.6;13,189;18,732;50.6;14.0;33.8;1.4342;154767.61
[ 48.79258133216612 , 3.2225742787012073];1103;Coulommiers;Coulommiers;62214;24935;63917;63.25;13618;19392;26019;8517;12122;14933;17241;19392;21747;24392;28165;34724;4.08;66.27;22.06;6.03;5.64;6.8;;7.1;7;6.9;6;5.4;7;7.1;7.2;0.1;226;2061;1289;5523;4725;13824;2047;15871;1.63;14.91;9.32;39.95;34.18;13824.00;2047.00;15871.00;56,388;62,236;1.0;29319;32917;89.1;17,367;11,953;145.3;19392;8517;30095;40,559;74.2;27,109;40,559;66.8;2,844;7,306;38.9;12,654;20,293;62.4;15,958;15,871;0.0;6.4;7.4;1;2,537;3,567;50.7;20.7;30.2;1.5344;27109.05
[ 48.97350185558757 , 3.038729556390458];1104;Meaux;Meaux;143499;54545;145711.5;65.87;12466;19298;26574;6814;10800;13979;16767;19298;21885;24848;28728;35513;5.21;72.11;19.05;4.27;4.57;7.1;;7.9;8;7.8;7.1;6.4;8.3;8.5;8.5;0.6;166;4536;2792;16952;14352;38798;3548;42346;0.43;11.69;7.20;43.69;36.99;38798.00;3548.00;42346.00;132,925;143,478;0.8;64713;78765;82.2;41,614;23,100;180.2;19298;6814;71299;95,956;74.3;64,190;95,956;66.9;6,774;15,859;42.7;30,598;48,298;63.4;40,368;42,346;0.4;6.6;8.7;2.1;6,319;8,909;49.6;19.3;33.8;1.4953;63333.10
[ 48.496011630672925 , 2.806796609048403];1105;Melun;Melun;380019;146431;381938.5;69.5;13994;20980;29003;8177;12310;15520;18254;20980;23757;26976;31443;39564;4.84;70.6;20.05;4.27;5.09;6.9;;7.6;7.6;7.3;6.2;5.6;7;7.3;7.3;-0.3;1035;16244;7853;52584;50054;127770;9141;136911;0.81;12.71;6.15;41.16;39.18;127770.00;9141.00;136911.00;354,855;380,029;0.7;172724;207305;83.3;107,182;65,542;163.5;20980;8177;188815;253,199;74.6;171,165;253,199;67.6;18,889;42,922;44.0;82,090;128,180;64.0;122,995;136,911;1.0;6.5;7.3;0.8;14,596;21,159;49.7;17.0;33.5;1.5009;172496.37
[ 48.36337282609654 , 3.003864655561658];1106;Montereau-Fault-Yonne;Montluçon;111733;16008;41752;59.13;10519;16847;23800;5452;8982;11979;14509;16847;19424;22247;25693;31953;5.86;65.94;26.08;3.72;4.26;9.9;;9.9;10.3;10.4;9.1;8;9.9;9.8;10;0.1;54;2600;828;4275;4103;11860;1056;12916;0.46;21.92;6.98;36.05;34.60;11860.00;1056.00;12916.00;40,100;40,729;0.2;20261;20468;99.0;11,544;8,717;132.4;16847;5452;17981;25,645;70.1;15,645;25,645;61.0;1,725;4,825;35.8;7,263;12,920;56.2;13,163;12,916;-0.2;9.8;10.3;0.5;1,968;2,746;50.2;18.0;33.3;1.5882;15300.11
[ 48.216307329118614 , 2.7227503307180223];1107;Nemours;Nemours;48866;19640;49095;62.74;12738;18843.5;25873;7494;11264;14098;16539;18843.5;21315;24133;27969.5;34209;4.56;64.28;24.79;5.23;5.7;5.7;;6;6.5;6.6;6.1;5.5;7.1;7.4;7.5;1.5;61;2687;1174;5174;4162;13258;1562;14820;0.46;20.27;8.86;39.03;31.39;13258.00;1562.00;14820.00;47,555;48,861;0.3;23823;25038;95.1;12,843;10,980;117.0;18844;7494;22673;31,090;72.9;20,198;31,090;65.0;2,449;6,066;40.4;9,521;15,647;60.8;15,199;14,820;-0.2;5.5;8;2.5;2,126;3,192;50.4;18.3;40.4;1.5716;20052.09
[ 48.549625762100504 , 3.3193315692368976];1108;Provins;Provins;42833;16977;42683.5;59.92;12069;17958;24649;7154;10624;13337;15730;17958;20367;22995;26686;33447;4.68;63.2;24.68;6.28;5.84;8.9;;9.9;9.8;9.8;8.7;7.9;9.2;9.3;8.5;-1.4;91;1594;616;4087;4976;11364;1288;12652;0.80;14.03;5.42;35.96;43.79;11364.00;1288.00;12652.00;39,782;42,842;0.7;20884;21958;95.1;11,565;9,319;124.1;17958;7154;19843;27,145;73.1;17,358;27,145;63.9;1,843;4,985;37.0;7,889;13,388;58.9;10,844;12,652;1.5;7.8;8.5;0.7;1,813;2,554;52.6;20.1;37.8;1.5783;17562.48
[ 48.79356717631233 , 1.735438796373155];1109;Houdan;Houdan;37673;13912;36770;78.38;19450;27413.5;37745;13238;17709;21012;24160;27413.5;30984;35256;41218;53291;4.03;66.7;19.21;5.25;8.85;5.1;;5.2;5.1;4.8;4;3.6;4.5;4.6;4.6;-0.6;101;1061;790;4576;3392;9920;1448;11368;1.02;10.70;7.96;46.13;34.19;9920.00;1448.00;11368.00;34,258;37,670;1.0;18149;19521;93.0;10,044;8,105;123.9;27414;13238;18044;24,678;73.1;16,973;24,678;68.8;2,386;5,249;45.5;7,964;12,270;64.9;9,973;11,368;1.3;4.9;4.5;-0.4;881;1,323;51.6;12.5;36.1;1.5265;17114.03
